map,agents,success_rate,avg_overhead_pct,avg_wall_ms
mapf/bench/maps/empty16.map,2,100.0,0.8,1.9
mapf/bench/maps/empty16.map,4,100.0,11.5,3.0
mapf/bench/maps/empty16.map,6,100.0,10.7,4.2
mapf/bench/maps/empty16.map,8,100.0,9.3,5.4
mapf/bench/maps/empty16.map,12,100.0,7.7,8.5
mapf/bench/maps/empty16.map,16,100.0,9.2,12.8
mapf/bench/maps/empty16.map,20,100.0,9.2,18.9
mapf/bench/maps/obstacles16.map,2,100.0,4.6,3.2
mapf/bench/maps/obstacles16.map,4,100.0,14.0,7.7
mapf/bench/maps/obstacles16.map,6,100.0,15.4,10.4
mapf/bench/maps/obstacles16.map,8,95.0,10.8,13.7
mapf/bench/maps/obstacles16.map,12,89.5,18.8,52.1
mapf/bench/maps/obstacles16.map,16,72.2,20.1,131.1
mapf/bench/maps/obstacles16.map,20,40.0,18.9,285.7
mapf/bench/maps/rooms16.map,2,100.0,3.0,2.9
mapf/bench/maps/rooms16.map,4,100.0,9.0,5.6
mapf/bench/maps/rooms16.map,6,95.0,11.9,9.1
mapf/bench/maps/rooms16.map,8,90.0,11.1,18.6
mapf/bench/maps/rooms16.map,12,75.0,17.5,53.9
mapf/bench/maps/rooms16.map,16,40.0,27.5,111.2
mapf/bench/maps/rooms16.map,20,5.0,40.3,363.4
